Repository,Title,Call No.,Language(s),Origin,Date,CompuDate,Place,Illustrated,Illuminated,Subject,Genre,Front Cover,Navigation,Data,Record,Summary
University of Pennsylvania Rare Book & Manuscript Library,Periermenias Aristotelis ... etc.,LJS 101,Latin,"Written in north central France, possibly at the abbey in Saint-Benoît-sur-Loire, also known as the Abbaye de Fleury.",ca. 850,850,France,No,Yes,"Illumination of books and manuscripts, Carolingian;Logic;","Codices;Commentaries;Diagrams;Illuminations (visual works);Poems;Translations (documents);Treatises;Manuscripts, Latin;Manuscripts, Latin;Manuscripts, Medieval;",http://openn.library.upenn.edu/Data/0001/ljs101/data/web/0241_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs101.html,http://openn.library.upenn.edu/Data/0001/ljs101/data/,http://hdl.library.upenn.edu/1017/d/medren/5186550,"9th-century copy of Boethius's Latin translation of Aristotle's De interpretatione, referred to in the manuscript as Periermenias, with the shorter of two commentaries that Boethius wrote on that work. Replacement leaves added in the 11th century to the beginning (f. 1-4) and end (f. 45-64) of the manuscript, in addition to providing the beginning and end of the Boethius (which is probably lacking 2 gatherings between extant gatherings 6 and 7), include the Perihermeniae attributed to Apuleius in the medieval period, a poem by Decimus Magnus Ausonius on the seven days of Creation, a sample letter of a monk to an abbot with interlinear and marginal glosses, and other miscellaneous verses, definitions, and excerpts.""           "
University of Pennsylvania Rare Book & Manuscript Library,Zena nagaromu and hymns,LJS 102,Ethiopic,"Written in Ethiopia in the early 20th century (possible colophon erased and illegible, f. 85v).",between 1900 and 1925,1900-1925,Ethiopia,No,Yes,"Hymns, Ethiopic;Illumination of books and manuscripts, Ethiopian;Trinity;","Codices;Hymns;Illuminations;Manuscripts, Ethiopic;Manuscripts, Digital;Finding tabs;",http://openn.library.upenn.edu/Data/0001/ljs102/data/web/0114_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs102.html,http://openn.library.upenn.edu/Data/0001/ljs102/data/,http://hdl.library.upenn.edu/1017/d/medren/5964763,"Account of Creation by the Trinity (Zena nagaromu, f. 1r), followed by hymns (f. 20v, 29v, 38r, 47v, 60r, 85v). Notes added in a different hand in the top margin (indications of day of the week for readings) and at the end of some hymns (f. 38v, 59v); some erased rubrics supplied in blue ink by a modern hand (for example, f. 31r, 40v, 51v, 85v). In addition to the brown thread markers in the upper outer corners of 3 illuminations (f. 36r, 71r, 100r), 2 leaves have a bit of magenta fiber threaded through their side margins (f. 76, 85), which may have served as another form of finding tab.""           "
University of Pennsylvania Rare Book & Manuscript Library,Reproduction of Sienese book covers.,LJS 103,None noted,None noted,between 1885 and 1889?,1885-1889,Siena,Yes,No,Bookbinding;Bookbinding;Laborers in the vineyard (Parable);,"Covers (gathered matter components);Coats of arms;Facsimiles;Manuscripts, Digital;",http://openn.library.upenn.edu/Data/0001/ljs103/data/web/0001_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs103.html,http://openn.library.upenn.edu/Data/0001/ljs103/data/,http://hdl.library.upenn.edu/1017/d/medren/6073441,"19th-century reproduction of the wooden covers used in the 15th century on the tavolette della biccerna (tax account books) in the Archivio di Stato of Siena, comprising two painted wooden panels joined by a leather spine. The center of the upper cover depicts the parable of the laborers in the vineyard; the center of the lower cover has a central coat of arms flanked by four smaller coats of arms; both have gilt dividing lines patterned with repeated small punches or impressions. Worm damage visible on the inner surfaces of the covers.""           "
University of Pennsylvania Rare Book & Manuscript Library,Manuscript leaf from Interpretationes Hebraicorum nominum,LJS 108,Latin,None noted,None noted,,None noted,No,No,Hebrew language;,"Fragments;Excerpts;Etymological dictionaries;Glossaries;Manuscripts, Latin;Manuscripts, Medieval;",http://openn.library.upenn.edu/Data/0001/ljs108/data/web/0162_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs108.html,http://openn.library.upenn.edu/Data/0001/ljs108/data/,http://hdl.library.upenn.edu/1017/d/medren/5760266,"Leaf containing entries beginning with the letter G, from Gaas to Gareb. The leaf was written in England, ca. 1220, in early Gothic book script, in 2 columns of 32 lines, with the first line of text above the line, frame-ruled in lead. Initials, paragraph marks, and line-fillers in red.""           "
University of Pennsylvania Rare Book & Manuscript Library,John Elys deed :,LJS 110,Latin,None noted,None noted,,None noted,No,No,Real property;,"Deeds;Indentures;Legal documents;Manuscripts, Latin;Manuscripts, Medieval;",http://openn.library.upenn.edu/Data/0001/ljs110/data/web/0175_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs110.html,http://openn.library.upenn.edu/Data/0001/ljs110/data/,http://hdl.library.upenn.edu/1017/d/medren/4994560,"Deed of a sale of a life estate by John Elys and his son John to John de Beeleye and his wife Margery, all of Toneworth, Warwickshire. Dated the first Wednesday after the feast of Saint Hillary in the thirty-first regnal year of Edward III (January 1358), in Toneworth. The document states that Robert de Crowenhale, Edward de Middelmor, John Waryn, Richard Russel, John Page, and others were present as witnesses. It is written in 25 long lines, in a notarial hand, and has a parchment tag at the bottom. Words have been erased in two places (in one case with a correction written in the space) and nearly 4 lines have been canceled by crossing out in ink. The document has the undulating upper edge of an indenture and was marked before cutting.""           "
University of Pennsylvania Rare Book & Manuscript Library,Manuscript leaf from Summa de poenitentia et matrimonio,LJS 115,Latin,None noted,None noted,,None noted,No,No,"Confession;Penance (Canon law);Usury;","Fragments;Manuals (instructional materials);Manuscripts, Latin;Manuscripts, Medieval;",http://openn.library.upenn.edu/Data/0001/ljs115/data/web/0137_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs115.html,http://openn.library.upenn.edu/Data/0001/ljs115/data/,http://hdl.library.upenn.edu/1017/d/medren/4987914,"Leaf from Liber II, Titulus 7 (De usuris), paragraphs 4-8, of the Summa de poenitentia et matrimonio, a manual for confessors. The parchment leaf, written in the mid-13th century, probably in southern France, is frame-ruled in lead and written in 2 columns of 33 lines (110 x 78 mm.) in proto-Gothic script. Paragraph marks alternate between red and blue, one with extensions; the running headings (II on verso, L on recto) indicate that this leaf is from Liber II.""           "
University of Pennsylvania Rare Book & Manuscript Library,Manuscript leaf from a collection of papal decretals,LJS 119,Latin,None noted,None noted,,None noted,No,No,Canon law;,"Fragments;Commentaries;Decretals;Manuscripts, Latin;Manuscripts, Medieval;",http://openn.library.upenn.edu/Data/0001/ljs119/data/web/0163_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs119.html,http://openn.library.upenn.edu/Data/0001/ljs119/data/,http://hdl.library.upenn.edu/1017/d/medren/4996777,"Part of a leaf, used in a binding, of a canon law manuscript, containing papal decretals of Lucius III, Alexander III, and Urbanus III. The manuscript, written in a Gothic script in France in the 14th century, was written in 2 columns of 46 lines, surrounded by 2 columns of commentary. This fragment shows the outer column of main text and most of the outer column of commentary, with the rubrics De sententia et re iudicata on the recto and Iure iurando on the verso in the main text. 2 decretals on the recto are listed in Jaffé's Regesta pontificum Romanorum (Quia indicante abbate Cessano monasterii Sancti Petri, v. 2, no. 14106; Dilecti filii nostri abbas et fratres monasterii Sancti Ebulsi, v. 2, no. 13729). 3-line initials at the beginning of the decretals alternate between red with blue filigree and blue with red filigree; 1-line initials for the popes cited alternate between red and blue.""           "
University of Pennsylvania Rare Book & Manuscript Library,"Manuscript leaf from Speculum historiale, Book 29",LJS 124,Latin,None noted,None noted,,None noted,No,No,Abbots;Bishops;,"Fragments;Excerpts;Manuscripts, Latin;Manuscripts, Latin;Manuscripts, Medieval;",http://openn.library.upenn.edu/Data/0001/ljs124/data/web/0136_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs124.html,http://openn.library.upenn.edu/Data/0001/ljs124/data/,http://hdl.library.upenn.edu/1017/d/medren/4934995,"Leaf from Book 29, containing text from the middle of Chapter 83 to the beginning of Chapter 86, which consists of excerpts from Saint Bernard of Clairvaux concerning abbots and bishops. The heading in red ink at the top on both sides is Flores Sancti Bernardi. The leaf was written in France, probably Paris, ca. 1400, in a Gothic semi-cursive book script, in 2 columns of 47 lines, and frame-ruled in faint ink with double bounding lines on each side. 3 2-line chapter initials in red or blue with contrasting penwork in blue-black or bright red; chapter headings in red; capitals touched in yellow.""           "
University of Pennsylvania Rare Book & Manuscript Library,Allgemeine Maschinenlehre nach den Vorfrägen des Herrn Professor Dr. Rühlmann,LJS 163,German,"Written in Hannover in 1864 (title page, f. ii recto).",1864,1864,Hannover,Yes,No,Mechanical engineering;Technology;,"Codices;Drawings;Technical drawings;Manuscripts, German;Manuscripts, Digital;",http://openn.library.upenn.edu/Data/0001/ljs163/data/web/0046_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs163.html,http://openn.library.upenn.edu/Data/0001/ljs163/data/,http://hdl.library.upenn.edu/1017/d/medren/5818281,"Drawings of machines, grouped by type, such as sewing machines, presses, scales, water wheels, turbines, cranes, steam engines, and locomotives, arranged to illustrate the development of the machines and accompanied by historical notes which often refer to the inventor and give citations to works dated as late as 1864, made while the author was a student at the Polytechnic Institute in Hannover, now Leibniz Universität Hannover. The title page refers to the Vorfrägen (Preliminary questions) of Dr. Rühlmann, probably the 4-volume encyclopedia of mechanical engineering titled Allgemeine Maschinenlehre, published by Christian Moritz Rühlmann, professor of mechanical engineering at Chemnitz; the first volume was published in 1862. A printed table concerning the performance of various locomotives, with a reference to an exhibition of 1862, is bound in near the end of the manuscript (f. 195) and folds out.""           "
University of Pennsylvania Rare Book & Manuscript Library,Arithmetic copy books,LJS 164,None noted,"Volumes 1-2 written in Georges Township, Fayette County, Pennsylvania (Volume 1, f. 104v, 109v; Volume 2, f. 105v); all volumes written between 1822 (Volume 1, f. 30r) and 1845 (Volume 2, f. 96r).",1822-1845,1822-1845,"Georges Township, Fayette County",No,No,Arithmetic;Mathematics;,"Codices;Manuscripts, American;Manuscripts, Digital;",http://openn.library.upenn.edu/Data/0001/ljs164/data/web/0301_0000_web.jpg,http://openn.library.upenn.edu/Data/0001/html/ljs164.html,http://openn.library.upenn.edu/Data/0001/ljs164/data/,http://hdl.library.upenn.edu/1017/d/medren/5837956,"3 volumes, mostly disbound, of sample problems copied by members of the McCormick family of Georges Township, Fayette County, Pennsylvania, from arithmetic textbooks published in the first half of the 19th century. The first volume was copied in 1822 and possibly 1823 by James McCormick from Joseph Stockton's Western calculator, or a new and compendious system of practical arithmetic, published in many editions, the first in 1818. Notes and accounts at the back of the volume are dated 1825 and 1826. The second volume was copied circa 1839-1845 by William Hampton McCormick, earlier sections also from the Western calculator and later sections with more complex mathematics from Jeremiah Day's Introduction to algebra, published in many editions, the first in 1814. The third volume is an unsigned fragment in a different hand dated 1823, copied from Zachariah Jess's American tutor's assistant, improved, or a compendious system of decimal, practical arithmetic, published in many editions, the first in 1799. Stockton's textbook covers very similar material to Jess's, focusing on arithmetic to be used in the contexts of finance, retail, and building trades.""           "
